   0%|          | 0/3 [00:00<?, ?it/s] Average Metric: 0.00 / 1 (0.0%):   0%|          | 0/3 [00:15<?, ?it/s] Average Metric: 0.00 / 1 (0.0%):  33%|███▎      | 1/3 [00:15<00:30, 15.17s/it] Average Metric: 0.00 / 2 (0.0%):  33%|███▎      | 1/3 [00:15<00:30, 15.17s/it] Average Metric: 0.00 / 2 (0.0%):  67%|██████▋   | 2/3 [00:15<00:06,  6.45s/it] Average Metric: 0.50 / 3 (16.7%):  67%|██████▋   | 2/3 [00:16<00:06,  6.45s/it] Average Metric: 0.50 / 3 (16.7%): 100%|██████████| 3/3 [00:16<00:00,  3.85s/it] Average Metric: 0.50 / 3 (16.7%): 100%|██████████| 3/3 [00:16<00:00,  5.42s/it]
             personality hole_cards preflop_board preflop_street  \
0    twenty_five_percent   (9s, 8h)            ()        Preflop   
1    twenty_five_percent   (2h, 4s)            ()        Preflop   
2    twenty_five_percent   (8d, 6s)            ()        Preflop   
3    twenty_five_percent   (9h, 9s)            ()        Preflop   
4    twenty_five_percent   (Ad, Ks)            ()        Preflop   
5    twenty_five_percent   (8c, 2d)            ()        Preflop   
6    twenty_five_percent   (Tc, 7h)            ()        Preflop   
7    twenty_five_percent   (Td, 9d)            ()        Preflop   
8    twenty_five_percent   (Jh, 6d)            ()        Preflop   
9    twenty_five_percent   (Ts, 2s)            ()        Preflop   
10   twenty_five_percent   (2c, Tc)            ()        Preflop   
11   twenty_five_percent   (2c, 6h)            ()        Preflop   
12   twenty_five_percent   (Ts, 4s)            ()        Preflop   
13   twenty_five_percent   (5h, Td)            ()        Preflop   
14   twenty_five_percent   (7s, 4d)            ()        Preflop   
15   twenty_five_percent   (3d, 8h)            ()        Preflop   
16   twenty_five_percent   (5s, Qd)            ()        Preflop   
17   twenty_five_percent   (Kc, 9c)            ()        Preflop   
18   twenty_five_percent   (7s, 4c)            ()        Preflop   
19   twenty_five_percent   (8s, Js)            ()        Preflop   
20   twenty_five_percent   (7s, 8d)            ()        Preflop   
21   twenty_five_percent   (Kd, Ah)            ()        Preflop   
22   twenty_five_percent   (7c, 9s)            ()        Preflop   
23   twenty_five_percent   (Th, 8h)            ()        Preflop   
24   twenty_five_percent   (Js, 4d)            ()        Preflop   
25   twenty_five_percent   (8h, 6c)            ()        Preflop   
26   twenty_five_percent   (Qs, 7d)            ()        Preflop   
27   twenty_five_percent   (Js, Ts)            ()        Preflop   
28   twenty_five_percent   (6d, Ad)            ()        Preflop   
29   twenty_five_percent   (2c, Kd)            ()        Preflop   
30   twenty_five_percent   (2d, 5d)            ()        Preflop   
31   twenty_five_percent   (As, 8d)            ()        Preflop   
32   twenty_five_percent   (As, 4d)            ()        Preflop   
33   twenty_five_percent   (4d, 3d)            ()        Preflop   
34   twenty_five_percent   (Qd, Jc)            ()        Preflop   
35   twenty_five_percent   (9d, 6c)            ()        Preflop   
36   twenty_five_percent   (5c, 5s)            ()        Preflop   
37   twenty_five_percent   (2d, 2c)            ()        Preflop   
38   twenty_five_percent   (Ks, 4s)            ()        Preflop   
39   twenty_five_percent   (Kd, 6c)            ()        Preflop   
40   twenty_five_percent   (Jd, Ad)            ()        Preflop   
41   twenty_five_percent   (9h, Ts)            ()        Preflop   
42   twenty_five_percent   (9s, Qc)            ()        Preflop   
43   twenty_five_percent   (4c, 7h)            ()        Preflop   
44   twenty_five_percent   (Qh, 3d)            ()        Preflop   
45   twenty_five_percent   (9d, Ad)            ()        Preflop   
46   twenty_five_percent   (Kd, Ac)            ()        Preflop   
47   twenty_five_percent   (Ad, 6c)            ()        Preflop   
48   twenty_five_percent   (Td, Ad)            ()        Preflop   
49   twenty_five_percent   (4s, Ks)            ()        Preflop   
50   twenty_five_percent   (9d, 8d)            ()        Preflop   
51   twenty_five_percent   (5h, 8s)            ()        Preflop   
52   twenty_five_percent   (Kh, 9d)            ()        Preflop   
53   twenty_five_percent   (8h, Jc)            ()        Preflop   
54   twenty_five_percent   (Ah, 8d)            ()        Preflop   
55   twenty_five_percent   (8d, 6s)            ()        Preflop   
56   twenty_five_percent   (7h, 3c)            ()        Preflop   
57   twenty_five_percent   (Kh, 6d)            ()        Preflop   
58   twenty_five_percent   (Kd, 5d)            ()        Preflop   
59   twenty_five_percent   (5d, Qs)            ()        Preflop   
60   twenty_five_percent   (6s, Ts)            ()        Preflop   
61   twenty_five_percent   (Qs, Ah)            ()        Preflop   
62   twenty_five_percent   (Ks, 9s)            ()        Preflop   
63   twenty_five_percent   (Jd, Jc)            ()        Preflop   
64   twenty_five_percent   (Jh, 6c)            ()        Preflop   
65   twenty_five_percent   (5d, Ts)            ()        Preflop   
66   twenty_five_percent   (2d, Ts)            ()        Preflop   
67   twenty_five_percent   (Js, Jc)            ()        Preflop   
68   twenty_five_percent   (3s, Tc)            ()        Preflop   
69   twenty_five_percent   (Qc, 3d)            ()        Preflop   
70   twenty_five_percent   (Th, Ah)            ()        Preflop   
71   twenty_five_percent   (7h, Td)            ()        Preflop   
72   twenty_five_percent   (6h, 2d)            ()        Preflop   
73   twenty_five_percent   (3h, Tc)            ()        Preflop   
74   twenty_five_percent   (Qs, 8d)            ()        Preflop   
75   twenty_five_percent   (8h, 4s)            ()        Preflop   
76   twenty_five_percent   (4h, 9d)            ()        Preflop   
77   twenty_five_percent   (7s, Kc)            ()        Preflop   
78   twenty_five_percent   (As, Jh)            ()        Preflop   
79   twenty_five_percent   (Ac, 8s)            ()        Preflop   
80   twenty_five_percent   (Tc, 4s)            ()        Preflop   
81   twenty_five_percent   (6h, 8h)            ()        Preflop   
82   twenty_five_percent   (8s, 9h)            ()        Preflop   
83   twenty_five_percent   (7s, As)            ()        Preflop   
84   twenty_five_percent   (Kh, Jd)            ()        Preflop   
85   twenty_five_percent   (2c, 9d)            ()        Preflop   
86   twenty_five_percent   (Ks, Kc)            ()        Preflop   
87   twenty_five_percent   (6s, Qc)            ()        Preflop   
88   twenty_five_percent   (4s, Qd)            ()        Preflop   
89   twenty_five_percent   (Js, Kd)            ()        Preflop   
90   twenty_five_percent   (5h, Qc)            ()        Preflop   
91   twenty_five_percent   (3d, 2d)            ()        Preflop   
92   twenty_five_percent   (2h, 8d)            ()        Preflop   
93   twenty_five_percent   (6c, 5s)            ()        Preflop   
94   twenty_five_percent   (2h, Th)            ()        Preflop   
95   twenty_five_percent   (4s, 9s)            ()        Preflop   
96   twenty_five_percent   (Kd, 9c)            ()        Preflop   
97   twenty_five_percent   (Ac, 4s)            ()        Preflop   
98   twenty_five_percent   (5d, Ad)            ()        Preflop   
99   twenty_five_percent   (5h, 5c)            ()        Preflop   
100  twenty_five_percent   (8s, 6d)            ()        Preflop   
101  twenty_five_percent   (7d, Jc)            ()        Preflop   
102  twenty_five_percent   (5d, 9c)            ()        Preflop   
103  twenty_five_percent   (8s, Jh)            ()        Preflop   
104  twenty_five_percent   (7s, Jh)            ()        Preflop   
105  twenty_five_percent   (Qc, 4d)            ()        Preflop   
106  twenty_five_percent   (4s, 7c)            ()        Preflop   
107  twenty_five_percent   (5c, 4h)            ()        Preflop   
108  twenty_five_percent   (7d, 8s)            ()        Preflop   
109  twenty_five_percent   (As, 8d)            ()        Preflop   
110  twenty_five_percent   (5d, Qd)            ()        Preflop   
111  twenty_five_percent   (5d, Ts)            ()        Preflop   
112  twenty_five_percent   (Js, 9c)            ()        Preflop   
113  twenty_five_percent   (2d, Jd)            ()        Preflop   
114  twenty_five_percent   (7s, 4h)            ()        Preflop   
115  twenty_five_percent   (9h, Js)            ()        Preflop   
116  twenty_five_percent   (8d, 3s)            ()        Preflop   
117  twenty_five_percent   (Ac, 4c)            ()        Preflop   
118  twenty_five_percent   (Qc, 7d)            ()        Preflop   
119  twenty_five_percent   (5h, 8s)            ()        Preflop   
120  twenty_five_percent   (8s, 6s)            ()        Preflop   
121  twenty_five_percent   (3h, Jd)            ()        Preflop   
122  twenty_five_percent   (Qs, Tc)            ()        Preflop   
123  twenty_five_percent   (2c, 8h)            ()        Preflop   
124  twenty_five_percent   (3d, 4h)            ()        Preflop   
125  twenty_five_percent   (7s, 9c)            ()        Preflop   
126  twenty_five_percent   (Qh, 7s)            ()        Preflop   
127  twenty_five_percent   (3d, Jd)            ()        Preflop   
128  twenty_five_percent   (Qc, 9s)            ()        Preflop   
129  twenty_five_percent   (3c, Ts)            ()        Preflop   
130  twenty_five_percent   (3d, Qc)            ()        Preflop   
131  twenty_five_percent   (Td, 6d)            ()        Preflop   
132  twenty_five_percent   (7s, 5h)            ()        Preflop   
133  twenty_five_percent   (Ad, Js)            ()        Preflop   
134  twenty_five_percent   (7s, Js)            ()        Preflop   
135  twenty_five_percent   (8c, Js)            ()        Preflop   
136  twenty_five_percent   (Kh, 4s)            ()        Preflop   
137  twenty_five_percent   (3c, Qh)            ()        Preflop   
138  twenty_five_percent   (Jd, 8h)            ()        Preflop   
139  twenty_five_percent   (Th, Ks)            ()        Preflop   
140  twenty_five_percent   (Ts, Jd)            ()        Preflop   
141  twenty_five_percent   (9c, Qh)            ()        Preflop   
142  twenty_five_percent   (Kc, Ac)            ()        Preflop   
143  twenty_five_percent   (4h, 9s)            ()        Preflop   
144  twenty_five_percent   (Tc, Qc)            ()        Preflop   
145  twenty_five_percent   (Qc, 7h)            ()        Preflop   
146  twenty_five_percent   (Ks, Qc)            ()        Preflop   
147  twenty_five_percent   (8s, Ad)            ()        Preflop   
148  twenty_five_percent   (3d, 2s)            ()        Preflop   
149  twenty_five_percent   (9h, 7h)            ()        Preflop   
150  twenty_five_percent   (Ah, 5s)            ()        Preflop   
151  twenty_five_percent   (Qc, Tc)            ()        Preflop   
152  twenty_five_percent   (Ks, 5h)            ()        Preflop   
153  twenty_five_percent   (Kc, Td)            ()        Preflop   
154  twenty_five_percent   (Js, 8h)            ()        Preflop   
155  twenty_five_percent   (4h, Kd)            ()        Preflop   
156  twenty_five_percent   (8h, Kc)            ()        Preflop   
157  twenty_five_percent   (3d, Qh)            ()        Preflop   
158  twenty_five_percent   (3s, 2h)            ()        Preflop   
159  twenty_five_percent   (Qs, 2s)            ()        Preflop   
160  twenty_five_percent   (Th, Ad)            ()        Preflop   
161  twenty_five_percent   (8c, Js)            ()        Preflop   
162  twenty_five_percent   (4d, 7h)            ()        Preflop   
163  twenty_five_percent   (5s, Ts)            ()        Preflop   
164  twenty_five_percent   (Td, 3s)            ()        Preflop   
165  twenty_five_percent   (Ah, Ac)            ()        Preflop   
166  twenty_five_percent   (Ad, 2c)            ()        Preflop   
167  twenty_five_percent   (Kd, 5s)            ()        Preflop   
168  twenty_five_percent   (9d, 2c)            ()        Preflop   
169  twenty_five_percent   (4h, 2s)            ()        Preflop   
170  twenty_five_percent   (5d, 5h)            ()        Preflop   
171  twenty_five_percent   (Ah, 4c)            ()        Preflop   
172  twenty_five_percent   (Td, Jc)            ()        Preflop   
173  twenty_five_percent   (Ks, 3s)            ()        Preflop   
174  twenty_five_percent   (6h, Qs)            ()        Preflop   
175  twenty_five_percent   (7s, 8h)            ()        Preflop   
176  twenty_five_percent   (4s, 5c)            ()        Preflop   
177  twenty_five_percent   (5d, Qh)            ()        Preflop   
178  twenty_five_percent   (9s, 4d)            ()        Preflop   
179  twenty_five_percent   (Jc, 5s)            ()        Preflop   
180  twenty_five_percent   (8d, 2d)            ()        Preflop   
181  twenty_five_percent   (3s, 9c)            ()        Preflop   
182  twenty_five_percent   (5c, Kh)            ()        Preflop   
183  twenty_five_percent   (7d, Js)            ()        Preflop   
184  twenty_five_percent   (Tc, Qc)            ()        Preflop   
185  twenty_five_percent   (Qs, As)            ()        Preflop   
186  twenty_five_percent   (As, 7d)            ()        Preflop   
187  twenty_five_percent   (8d, 4d)            ()        Preflop   
188  twenty_five_percent   (3c, 4d)            ()        Preflop   
189  twenty_five_percent   (4d, 7c)            ()        Preflop   
190  twenty_five_percent   (7s, Ks)            ()        Preflop   
191  twenty_five_percent   (6d, 5c)            ()        Preflop   
192  twenty_five_percent   (Kc, 4h)            ()        Preflop   
193  twenty_five_percent   (Ts, 2d)            ()        Preflop   
194  twenty_five_percent   (7s, Kh)            ()        Preflop   
195  twenty_five_percent   (4c, 3h)            ()        Preflop   
196  twenty_five_percent   (6d, Qd)            ()        Preflop   
197  twenty_five_percent   (Qs, Qh)            ()        Preflop   
198  twenty_five_percent   (6s, 7d)            ()        Preflop   
199  twenty_five_percent   (7h, Kd)            ()        Preflop   
200  twenty_five_percent   (6h, Qh)            ()        Preflop   
201  twenty_five_percent   (Qs, Kc)            ()        Preflop   
202  twenty_five_percent   (5c, 6c)            ()        Preflop   
203  twenty_five_percent   (Ah, Jh)            ()        Preflop   
204  twenty_five_percent   (5h, 3h)            ()        Preflop   

       flop_board flop_street        turn_board turn_street  \
0    (Qc, Ts, Th)        Flop  (Qc, 9h, Ts, Th)        Turn   
1    (9h, Qs, 5h)        Flop  (9h, Qs, Qd, 5h)        Turn   
2    (Kc, Jc, 3h)        Flop  (Kc, 9c, Jc, 3h)        Turn   
3    (8h, 7d, 2d)        Flop  (Qh, 8h, 7d, 2d)        Turn   
4    (5d, Ah, Js)        Flop  (5d, Ah, Tc, Js)        Turn   
5    (6s, As, 6h)        Flop  (Qh, 6s, As, 6h)        Turn   
6    (Kd, Ad, 2d)        Flop  (Kd, 9d, Ad, 2d)        Turn   
7    (9c, 9h, 7c)        Flop  (9c, 9h, 3s, 7c)        Turn   
8    (Kh, 5d, 3h)        Flop  (Kh, 5d, 3h, 6c)        Turn   
9    (4h, Th, 2h)        Flop  (8s, 4h, Th, 2h)        Turn   
10   (Td, 6s, 8d)        Flop  (Td, 6s, 9h, 8d)        Turn   
11   (Qc, 6s, 4s)        Flop  (Qc, 6s, Ah, 4s)        Turn   
12   (Kh, 8c, 5h)        Flop  (Kh, 8c, Tc, 5h)        Turn   
13   (7c, 9s, Ah)        Flop  (Qc, 7c, 9s, Ah)        Turn   
14   (7h, Qs, 8c)        Flop  (7h, Qs, Kd, 8c)        Turn   
15   (Qs, 2c, 2d)        Flop  (Qs, 8s, 2c, 2d)        Turn   
16   (8s, 4d, 2h)        Flop  (Qh, 8s, 4d, 2h)        Turn   
17   (8s, 8d, 2s)        Flop  (Jh, 8s, 8d, 2s)        Turn   
18   (Kh, Qs, Ah)        Flop  (Kh, Qs, Ah, Ks)        Turn   
19   (Jh, 2s, Ac)        Flop  (7d, Jh, 2s, Ac)        Turn   
20   (Kh, 6d, 2h)        Flop  (Kh, 6d, 2h, 2d)        Turn   
21   (9s, 9d, 6h)        Flop  (9s, 9c, 9d, 6h)        Turn   
22   (Ks, 2h, 6c)        Flop  (Ks, 2h, Jc, 6c)        Turn   
23   (6d, 7c, As)        Flop  (6d, 7c, 4s, As)        Turn   
24   (9d, 3h, 2s)        Flop  (Qh, 9d, 3h, 2s)        Turn   
25   (Qh, 7h, 2c)        Flop  (Qh, Kh, 7h, 2c)        Turn   
26   (Qc, Kh, 6c)        Flop  (Qc, 5d, Kh, 6c)        Turn   
27   (5s, Ac, 2d)        Flop  (5s, Ac, 7d, 2d)        Turn   
28   (7c, 3c, 5c)        Flop  (6s, 7c, 3c, 5c)        Turn   
29   (Ts, 2s, 3s)        Flop  (Ts, Tc, 2s, 3s)        Turn   
30   (5s, 7c, 4d)        Flop  (5s, 7c, 3c, 4d)        Turn   
31   (Td, 5s, 3h)        Flop  (Td, 5s, Ac, 3h)        Turn   
32   (7c, Jh, 4s)        Flop  (8d, 7c, Jh, 4s)        Turn   
33   (Qh, Jh, 3h)        Flop  (Qh, Jh, 3h, 4s)        Turn   
34   (7h, Ac, 6c)        Flop  (7h, Ac, Qs, 6c)        Turn   
35   (Qc, 5d, Qs)        Flop  (Qc, 5d, Qs, 5c)        Turn   
36   (Kc, 2h, Jd)        Flop  (Kc, 2d, 2h, Jd)        Turn   
37   (6s, 8s, 4h)        Flop  (6s, 8s, 9d, 4h)        Turn   
38   (7h, Qd, 2c)        Flop  (3c, 7h, Qd, 2c)        Turn   
39   (Td, 6d, 9s)        Flop  (Td, 6d, 9s, 4h)        Turn   
40   (Qc, 5s, 4h)        Flop  (Qc, 5s, 4h, 3d)        Turn   
41   (Ah, 7s, Jd)        Flop  (Ah, 7s, As, Jd)        Turn   
42   (Ts, 9h, Th)        Flop  (Ts, 9h, Kd, Th)        Turn   
43   (Kc, Qd, 5c)        Flop  (Kc, Qd, Ac, 5c)        Turn   
44   (6s, 9s, 8d)        Flop  (6s, 9s, 8d, As)        Turn   
45   (Qh, Js, 5c)        Flop  (Qh, Js, 5h, 5c)        Turn   
46   (7c, Jh, As)        Flop  (6s, 7c, Jh, As)        Turn   
47   (Qh, 7c, 6h)        Flop  (Qh, 6d, 7c, 6h)        Turn   
48   (Kh, 6s, 9c)        Flop  (Kh, 6s, 9c, 9h)        Turn   
49   (Ts, 8d, 6h)        Flop  (Ts, 2d, 8d, 6h)        Turn   
50   (7h, 2s, 3d)        Flop  (7h, Ad, 2s, 3d)        Turn   
51   (Kh, Qs, Jc)        Flop  (Kh, Qs, 9d, Jc)        Turn   
52   (6d, Ks, Jh)        Flop  (8d, 6d, Ks, Jh)        Turn   
53   (Td, 5d, 3d)        Flop  (Td, 5d, 4s, 3d)        Turn   
54   (9h, 9d, 3c)        Flop  (9h, Kd, 9d, 3c)        Turn   
55   (5d, 9d, Jh)        Flop  (5d, 9d, Jh, Jd)        Turn   
56   (6d, Kd, Tc)        Flop  (6d, Kd, 5d, Tc)        Turn   
57   (3c, 4d, 5h)        Flop  (8h, 3c, 4d, 5h)        Turn   
58   (Kh, Td, Jh)        Flop  (Kh, 5s, Td, Jh)        Turn   
59   (Ts, 8c, Qc)        Flop  (Ts, 8c, Qc, 3c)        Turn   
60   (4d, 7d, 4s)        Flop  (Kh, 4d, 7d, 4s)        Turn   
61   (Qd, 5c, 6c)        Flop  (Js, Qd, 5c, 6c)        Turn   
62   (5s, Kd, 4d)        Flop  (5s, Kd, 4d, 7h)        Turn   
63   (8d, 3h, 7d)        Flop  (Kh, 8d, 3h, 7d)        Turn   
64   (6d, Qs, 7s)        Flop  (6d, Qs, 7s, 5c)        Turn   
65   (Kh, 7d, As)        Flop  (Kh, 9h, 7d, As)        Turn   
66   (5s, Jh, 5c)        Flop  (5s, Kd, Jh, 5c)        Turn   
67   (7h, 4h, 2d)        Flop  (7h, 4h, 8s, 2d)        Turn   
68   (Qc, Jh, 5c)        Flop  (Qc, Jh, 2c, 5c)        Turn   
69   (Jc, Ad, 3s)        Flop  (9s, Jc, Ad, 3s)        Turn   
70   (Ts, 5s, 8s)        Flop  (Ts, 5s, Qh, 8s)        Turn   
71   (4c, Tc, 3s)        Flop  (Qc, 4c, Tc, 3s)        Turn   
72   (5s, 8d, 4s)        Flop  (5s, 8d, 4s, Js)        Turn   
73   (Qc, Ad, 6c)        Flop  (Qc, 2s, Ad, 6c)        Turn   
74   (6d, 8s, 4h)        Flop  (6d, 8s, 4h, 9c)        Turn   
75   (Kc, As, 2d)        Flop  (Kc, Qh, As, 2d)        Turn   
76   (Td, 7s, 3h)        Flop  (Td, Jh, 7s, 3h)        Turn   
77   (6d, Jc, Tc)        Flop  (6d, Kd, Jc, Tc)        Turn   
78   (Kh, 3h, 2s)        Flop  (Kh, 2h, 3h, 2s)        Turn   
79   (6d, 2c, 3d)        Flop  (6d, 6s, 2c, 3d)        Turn   
80   (5s, Qs, 3h)        Flop  (5s, Qs, 3h, Th)        Turn   
81   (7s, Td, Ac)        Flop  (7s, Td, Ac, 7d)        Turn   
82   (Td, 9c, 7s)        Flop  (Td, 9c, 7s, 3h)        Turn   
83   (7h, 4s, 7c)        Flop  (7h, 3h, 4s, 7c)        Turn   
84   (Qc, Ks, 2s)        Flop  (Qc, Ks, 2s, Qd)        Turn   
85   (Kh, Qh, 6h)        Flop  (Kh, Qh, Qc, 6h)        Turn   
86   (Ts, Jh, 3h)        Flop  (Ts, 8c, Jh, 3h)        Turn   
87   (5d, 9h, 6h)        Flop  (5d, 9h, 7c, 6h)        Turn   
88   (8c, 8d, Th)        Flop  (8c, 8d, 2c, Th)        Turn   
89   (9s, 8d, 2d)        Flop  (Qh, 9s, 8d, 2d)        Turn   
90   (9c, 7d, 2c)        Flop  (9c, 7d, 2c, 2s)        Turn   
91   (6s, 4c, 4d)        Flop  (6s, 4c, 4d, 6d)        Turn   
92   (Qc, 9c, 2d)        Flop  (Qc, 9c, 5d, 2d)        Turn   
93   (6d, Ah, 3d)        Flop  (6d, 7c, Ah, 3d)        Turn   
94   (6d, 3h, 5c)        Flop  (6d, 3h, 2s, 5c)        Turn   
95   (Qc, 5s, 4h)        Flop  (Qc, 5s, 4h, 7d)        Turn   
96   (9h, 8c, Th)        Flop  (9h, 8c, 4d, Th)        Turn   
97   (Ts, Qd, Jc)        Flop  (Ts, Qd, 7d, Jc)        Turn   
98   (2c, 3c, 6c)        Flop  (2c, 4c, 3c, 6c)        Turn   
99   (2d, 4s, 3s)        Flop  (2d, Th, 4s, 3s)        Turn   
100  (Kc, 9c, 6s)        Flop  (Kc, 9c, 6s, 7h)        Turn   
101  (Td, Ac, As)        Flop  (Td, Ac, 2c, As)        Turn   
102  (8c, 3h, As)        Flop  (Th, 8c, 3h, As)        Turn   
103  (9c, 8c, 2s)        Flop  (9c, 8c, As, 2s)        Turn   
104  (Qc, Jc, 5h)        Flop  (Qc, Td, Jc, 5h)        Turn   
105  (4s, As, Tc)        Flop  (5d, 4s, As, Tc)        Turn   
106  (8h, Jc, 5h)        Flop  (8h, 7d, Jc, 5h)        Turn   
107  (Td, 8c, Tc)        Flop  (Td, 5d, 8c, Tc)        Turn   
108  (Ks, Th, 2d)        Flop  (Ks, 9s, Th, 2d)        Turn   
109  (Qd, 4h, 5h)        Flop  (Td, Qd, 4h, 5h)        Turn   
110  (5s, 8c, 2c)        Flop  (Qh, 5s, 8c, 2c)        Turn   
111  (8d, Tc, 6h)        Flop  (8d, 5c, Tc, 6h)        Turn   
112  (Kh, Kd, Jh)        Flop  (Kh, Kd, 9d, Jh)        Turn   
113  (8h, 7d, Ad)        Flop  (8h, 9d, 7d, Ad)        Turn   
114  (9h, Ks, 3h)        Flop  (9h, Ks, 8c, 3h)        Turn   
115  (Kd, 8s, Jc)        Flop  (Kd, 8s, Jc, 3h)        Turn   
116  (Td, 9c, 5d)        Flop  (Td, 9c, 5d, 9s)        Turn   
117  (Kh, 7c, 2s)        Flop  (Kh, 7c, 8s, 2s)        Turn   
118  (Qd, 2h, 3d)        Flop  (5s, Qd, 2h, 3d)        Turn   
119  (Qh, 4d, Jd)        Flop  (Qh, 5c, 4d, Jd)        Turn   
120  (4h, 2h, 5c)        Flop  (4h, As, 2h, 5c)        Turn   
121  (Td, 8h, 6c)        Flop  (Td, 8h, 7h, 6c)        Turn   
122  (7h, Ks, Jd)        Flop  (Kh, 7h, Ks, Jd)        Turn   
123  (9h, 7h, Ac)        Flop  (9h, 7h, Ac, 3h)        Turn   
124  (Qh, 7s, 3h)        Flop  (Qh, 7s, 3h, 4s)        Turn   
125  (Qc, 6d, 4c)        Flop  (Qc, 6d, 4c, 5s)        Turn   
126  (Kc, Ks, Jc)        Flop  (Kc, Ks, Jc, Jd)        Turn   
127  (5s, 4d, 6c)        Flop  (5s, 7d, 4d, 6c)        Turn   
128  (Td, 7c, 2d)        Flop  (Td, Js, 7c, 2d)        Turn   
129  (9c, Ac, 4s)        Flop  (9c, Ac, 4s, 6h)        Turn   
130  (5d, As, 6h)        Flop  (5d, 2c, As, 6h)        Turn   
131  (5s, 3c, As)        Flop  (5s, 8d, 3c, As)        Turn   
132  (Qd, Ad, 4d)        Flop  (Qd, Ad, 4d, Jd)        Turn   
133  (7h, 2h, 5c)        Flop  (7h, 6h, 2h, 5c)        Turn   
134  (6d, 9d, 4s)        Flop  (6d, 4d, 9d, 4s)        Turn   
135  (8h, 2h, Tc)        Flop  (8h, 2h, Tc, 6h)        Turn   
136  (Ts, 4h, Th)        Flop  (Ts, 4h, As, Th)        Turn   
137  (Ts, 9d, 5c)        Flop  (Ts, Kd, 9d, 5c)        Turn   
138  (Qh, 5s, 4s)        Flop  (Qh, 5s, 7s, 4s)        Turn   
139  (4c, 2c, Jd)        Flop  (8s, 4c, 2c, Jd)        Turn   
140  (Qs, Jh, 6h)        Flop  (Qs, Jh, 2s, 6h)        Turn   
141  (Qd, 4c, 2s)        Flop  (Qd, 4c, 2s, 6h)        Turn   
142  (7c, 2c, 3d)        Flop  (7c, 8s, 2c, 3d)        Turn   
143  (Kh, 7h, Jh)        Flop  (Kh, 7h, Jh, 2d)        Turn   
144  (9c, Jh, Ad)        Flop  (9c, Kd, Jh, Ad)        Turn   
145  (Kd, Th, 5c)        Flop  (Kd, 2c, Th, 5c)        Turn   
146  (Kc, 6d, Kd)        Flop  (Kc, 6d, Kd, 9s)        Turn   
147  (Ts, 8h, Jh)        Flop  (Ts, 8h, Qh, Jh)        Turn   
148  (5s, 6s, Js)        Flop  (5s, 6s, 9h, Js)        Turn   
149  (Ks, 2c, Jd)        Flop  (Ks, 8c, 2c, Jd)        Turn   
150  (Kc, Ks, 2s)        Flop  (Kc, Ks, Jc, 2s)        Turn   
151  (Ts, 4s, 5h)        Flop  (Ts, 3c, 4s, 5h)        Turn   
152  (8d, 8s, Jh)        Flop  (8d, 5s, 8s, Jh)        Turn   
153  (Qh, 8c, 5c)        Flop  (Qh, 8c, 4c, 5c)        Turn   
154  (9c, Qs, 9d)        Flop  (9c, Qs, 9d, Jc)        Turn   
155  (Ac, Th, Tc)        Flop  (9c, Ac, Th, Tc)        Turn   
156  (6h, 9s, Jd)        Flop  (6h, 9s, 4s, Jd)        Turn   
157  (Kh, 4d, 5c)        Flop  (Kh, Jh, 4d, 5c)        Turn   
158  (8h, Jc, As)        Flop  (8h, 5d, Jc, As)        Turn   
159  (Kd, 7d, 3h)        Flop  (Kd, Ah, 7d, 3h)        Turn   
160  (Kh, 7c, 4h)        Flop  (Kh, 7c, 4h, 3h)        Turn   
161  (8h, Ad, 3s)        Flop  (8h, 2h, Ad, 3s)        Turn   
162  (Qh, 2h, Th)        Flop  (Qh, 2h, Th, 3s)        Turn   
163  (Qc, 2d, 5c)        Flop  (Qc, Kc, 2d, 5c)        Turn   
164  (6d, Kd, 4c)        Flop  (6d, Kd, 4c, 6c)        Turn   
165  (Qh, 8c, Th)        Flop  (Qh, 8c, As, Th)        Turn   
166  (9s, Ac, 3h)        Flop  (9s, Ac, 3h, 2s)        Turn   
167  (6s, Th, 5c)        Flop  (6s, 6h, Th, 5c)        Turn   
168  (Qs, Ad, 4d)        Flop  (Qs, Ad, 4d, 6c)        Turn   
169  (9d, 4c, Jd)        Flop  (Js, 9d, 4c, Jd)        Turn   
170  (7c, 9s, 3d)        Flop  (7c, 9s, As, 3d)        Turn   
171  (7h, Jh, 5c)        Flop  (5s, 7h, Jh, 5c)        Turn   
172  (Kh, Qh, 8s)        Flop  (Kh, Qh, 8s, 3h)        Turn   
173  (Qc, 7h, 8c)        Flop  (Qc, 7h, 8c, 3h)        Turn   
174  (8c, 3c, 3d)        Flop  (8c, 2h, 3c, 3d)        Turn   
175  (Qh, Tc, 3s)        Flop  (Qh, 8d, Tc, 3s)        Turn   
176  (8s, Jc, 4d)        Flop  (2s, 8s, Jc, 4d)        Turn   
177  (9h, Qd, As)        Flop  (9h, Qd, 2h, As)        Turn   
178  (9h, Ah, 2c)        Flop  (9h, Ah, 2c, 5h)        Turn   
179  (Qc, 4d, Th)        Flop  (Qc, 4d, Th, Kc)        Turn   
180  (5s, 9h, 3c)        Flop  (5s, 9h, 3c, 6c)        Turn   
181  (Qh, 2s, 5h)        Flop  (Qh, 6c, 2s, 5h)        Turn   
182  (Qs, 4h, 4c)        Flop  (8d, Qs, 4h, 4c)        Turn   
