   0%|          | 0/3 [00:00<?, ?it/s] Average Metric: 0.00 / 1 (0.0%):   0%|          | 0/3 [00:36<?, ?it/s] Average Metric: 0.00 / 1 (0.0%):  33%|███▎      | 1/3 [00:36<01:12, 36.18s/it] Average Metric: 0.25 / 2 (12.5%):  33%|███▎      | 1/3 [00:36<01:12, 36.18s/it] Average Metric: 0.25 / 2 (12.5%):  67%|██████▋   | 2/3 [00:36<00:15, 15.35s/it] Average Metric: 1.00 / 3 (33.3%):  67%|██████▋   | 2/3 [00:37<00:15, 15.35s/it] Average Metric: 1.00 / 3 (33.3%): 100%|██████████| 3/3 [00:37<00:00,  8.51s/it] Average Metric: 1.00 / 3 (33.3%): 100%|██████████| 3/3 [00:37<00:00, 12.44s/it]
172  check   fold   fold  ✔️ [0.750]  
173  check   fold   fold  ✔️ [1.000]  
174   call  raise   fold  ✔️ [0.250]  
175   call   fold   fold  ✔️ [0.500]  
176  check  check   fold  ✔️ [0.250]  
177   fold   fold   fold  ✔️ [0.750]  
178   call   fold   fold  ✔️ [0.000]  
179   call   fold   fold  ✔️ [0.500]  
180  raise  check   fold  ✔️ [0.250]  
181  raise   fold   fold  ✔️ [0.750]  
182   call   fold   fold  ✔️ [0.500]  
183   call   fold   fold  ✔️ [0.500]  
184   call   fold   fold  ✔️ [0.750]  
185  raise   call   fold  ✔️ [0.250]  
186   fold  check   fold  ✔️ [0.500]  
187   call   fold   fold  ✔️ [0.250]  
188   fold   fold   fold  ✔️ [0.750]  
189   fold   fold   fold  ✔️ [0.250]  
190  check   fold   fold  ✔️ [0.750]  
191  raise  check   fold  ✔️ [0.500]  
192   call  check   fold  ✔️ [0.250]  
193   call   fold   fold  ✔️ [0.000]  
194  check   call   fold  ✔️ [0.250]  
195   call   call   fold  ✔️ [0.500]  
196   call   fold   fold  ✔️ [0.500]  
197   call  check   fold  ✔️ [0.250]  
198   fold   fold   fold  ✔️ [1.000]  
199  check   fold   fold  ✔️ [0.750]  
200  check   fold   fold  ✔️ [0.750]  
201   fold   fold   fold  ✔️ [0.500]  
202   call  check   fold  ✔️ [0.250]  
203  check   fold   fold  ✔️ [1.000]  
204   fold  check   fold  ✔️ [0.250]  
DspyGEPAResult(candidates=[preflop_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions='Review the folling Poker Hand and determine the best action.'
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
flop_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions='Review the folling Poker Hand and determine the best action.'
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
turn_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions='Review the folling Poker Hand and determine the best action.'
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
river_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions='Review the folling Poker Hand and determine the best action.'
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
)), preflop_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions='Review the folling Poker Hand and determine the best action.'
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
flop_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions='Review the folling Poker Hand and determine the best action.'
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
turn_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions="python\n# Task Instruction\n\n## Task Description\nThe task is to determine the best action for a given poker hand based on the input hole cards and the community board. The assistant should consider the player's personality, the strength of their hand, the possible draws and board combinations, and the current street to make an informed decision.\n\n## Input Format\nThe input will be in the following format:\n- `personality`: A string representing the player's personality, e.g., `fifteen_percent`.\n- `hole_cards`: A tuple of two strings representing the player's hole cards, e.g., `(Kh, Kd)`.\n- `board`: A tuple of five strings representing the community board, e.g., `(Qh, 8h, 9s, Ac)`.\n- `street`: A string representing the current street, e.g., `Turn`.\n\n## Task Requirements\n1. The assistant should analyze the input hole cards and the community board to determine the strength of the player's hand.\n2. The assistant should consider the player's personality and adjust their strategy accordingly.\n3. The assistant should identify possible draws and board combinations that could improve or weaken the player's hand.\n4. The assistant should determine the best action based on the analysis, considering the current street and the player's hand strength.\n5. The assistant should provide a clear and concise reasoning for their decision.\n\n## Domain-Specific Factual Information\n- A pair of kings is a strong hand, but it can be vulnerable to ace-high flush draws.\n- A possible straight draw can be a strong hand, but it can also be vulnerable to flush draws.\n- A tight-aggressive player (15% aggression level) tends to be cautious and only play strong hands.\n- A player with a strong hand should consider raising to build the pot and protect their hand.\n- A player with a weak hand should consider folding to minimize losses.\n\n## Generalizable Strategies\n- Consider the player's personality and adjust their strategy accordingly.\n- Analyze the input hole cards and the community board to determine the strength of the player's hand.\n- Identify possible draws and board combinations that could improve or weaken the player's hand.\n- Determine the best action based on the analysis, considering the current street and the player's hand strength.\n\n## Evaluation Criteria\nThe assistant's response will be evaluated based on the following criteria:\n- Accuracy: Is the assistant's action correct based on the input hand and board?\n- Reasoning: Is the assistant's reasoning clear and concise, and does it justify their action?\n- Adaptability: Does the assistant adjust their strategy based on the player's personality?\n- Domain knowledge: Does the assistant demonstrate a good understanding of poker concepts and strategies?"
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
river_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions='Review the folling Poker Hand and determine the best action.'
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
)), preflop_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions='Review the folling Poker Hand and determine the best action.'
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
flop_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions="python\n# Task: Poker Hand Evaluator\n# Description: Evaluate a given poker hand and determine the best action based on the board and street.\n# Inputs:\n#   - personality: A string representing the player's personality type (e.g., fifteen_percent).\n#   - hole_cards: A tuple of two strings representing the player's hole cards (e.g., (Tc, 3s)).\n#   - board: A tuple of five strings representing the community cards (e.g., (Ac, Jc, 5h)).\n#   - street: A string representing the current street (e.g., Flop, Turn, River).\n# Outputs:\n#   - reasoning: A string explaining the reasoning behind the recommended action.\n#   - action: A string representing the recommended action (e.g., check, bet, raise, fold).\n# Task Requirements:\n#   - The assistant should consider the player's personality type when evaluating the hand.\n#   - The assistant should identify potential draws and strong hands based on the board and hole cards.\n#   - The assistant should determine the best action based on the identified draws and strong hands.\n#   - The assistant should consider the current street and the community cards when making a decision.\n#   - The assistant should provide a clear and concise explanation for the recommended action.\n#   - The assistant should be able to handle different personality types and poker hand scenarios.\n\n# Domain-Specific Factual Information:\n#   - A straight draw is a hand that has a chance to become a straight with the addition of one or more community cards.\n#   - A flush draw is a hand that has a chance to become a flush with the addition of one or more community cards.\n#   - A strong hand is a hand that has a high chance of winning, such as a pair, three of a kind, or a straight.\n#   - A trap is a situation where an opponent is trying to deceive the player into making a wrong decision.\n\n# Generalizable Strategies:\n#   - Consider the player's personality type when evaluating the hand.\n#   - Identify potential draws and strong hands based on the board and hole cards.\n#   - Determine the best action based on the identified draws and strong hands.\n#   - Consider the current street and the community cards when making a decision.\n```\n\n```python\n# Example 1\n## Inputs\n### personality\nfifteen_percent\n\n### hole_cards\n(Tc, 3s)\n\n### board\n(Ac, Jc, 5h)\n\n### street\nFlop\n\n## Generated Outputs\n### reasoning\nGiven the flop of (Ac, Jc, 5h) and my hole cards (Tc, 3s), I have a possible draw to a straight with the 4s and the 6s. However, I don't have any strong hands yet and my opponent might be trying to trap me. Considering my fifteen_percent personality, I'm likely to be aggressive and try to build the pot.\n\n### action\ncheck\n\n## Feedback\nYou made the correct 'check' action for this hand and board.\n\n# Example 2\n## Inputs\n### personality\nfifteen_percent\n\n### hole_cards\n(Kh, 8s)\n\n### board\n(Ks, 9d, Qh, 8h, 3c)\n\n### street\nRiver\n\n## Generated Outputs\n### reasoning\nWith a river street and a board that includes a flush draw, I should consider the possibility of my opponent having a flush. However, my hand is a strong one, with a king-high and an eight on the board. Given my personality type, I'm likely to be a somewhat aggressive player, so I should consider raising to protect my hand and build the pot.\n\n### action\nraise\n\n## Feedback\nYou made the correct 'raise' action for this hand and board.\n\n# Example 3\n## Inputs\n### personality\nfifteen_percent\n\n### hole_cards\n(Ad, 3d)\n\n### board\n(Jh, 4s, Tc)\n\n### street\nFlop\n\n## Generated Outputs\n### reasoning\nGiven the flop board (Jh, 4s, Tc) and my hole cards (Ad, 3d), I have a possible straight draw. I should consider folding to protect my stack and avoid a potential trap.\n\n### action\nfold\n\n## Feedback\nYou made the correct 'fold' action for this hand and board."
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
turn_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions="python\n# Task Instruction\n\n## Task Description\nThe task is to determine the best action for a given poker hand based on the input hole cards and the community board. The assistant should consider the player's personality, the strength of their hand, the possible draws and board combinations, and the current street to make an informed decision.\n\n## Input Format\nThe input will be in the following format:\n- `personality`: A string representing the player's personality, e.g., `fifteen_percent`.\n- `hole_cards`: A tuple of two strings representing the player's hole cards, e.g., `(Kh, Kd)`.\n- `board`: A tuple of five strings representing the community board, e.g., `(Qh, 8h, 9s, Ac)`.\n- `street`: A string representing the current street, e.g., `Turn`.\n\n## Task Requirements\n1. The assistant should analyze the input hole cards and the community board to determine the strength of the player's hand.\n2. The assistant should consider the player's personality and adjust their strategy accordingly.\n3. The assistant should identify possible draws and board combinations that could improve or weaken the player's hand.\n4. The assistant should determine the best action based on the analysis, considering the current street and the player's hand strength.\n5. The assistant should provide a clear and concise reasoning for their decision.\n\n## Domain-Specific Factual Information\n- A pair of kings is a strong hand, but it can be vulnerable to ace-high flush draws.\n- A possible straight draw can be a strong hand, but it can also be vulnerable to flush draws.\n- A tight-aggressive player (15% aggression level) tends to be cautious and only play strong hands.\n- A player with a strong hand should consider raising to build the pot and protect their hand.\n- A player with a weak hand should consider folding to minimize losses.\n\n## Generalizable Strategies\n- Consider the player's personality and adjust their strategy accordingly.\n- Analyze the input hole cards and the community board to determine the strength of the player's hand.\n- Identify possible draws and board combinations that could improve or weaken the player's hand.\n- Determine the best action based on the analysis, considering the current street and the player's hand strength.\n\n## Evaluation Criteria\nThe assistant's response will be evaluated based on the following criteria:\n- Accuracy: Is the assistant's action correct based on the input hand and board?\n- Reasoning: Is the assistant's reasoning clear and concise, and does it justify their action?\n- Adaptability: Does the assistant adjust their strategy based on the player's personality?\n- Domain knowledge: Does the assistant demonstrate a good understanding of poker concepts and strategies?"
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
river_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions='Review the folling Poker Hand and determine the best action.'
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
)), preflop_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions='Review the folling Poker Hand and determine the best action.'
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
flop_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions='Review the folling Poker Hand and determine the best action.'
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
turn_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions="python\n# Task Instruction\n\n## Task Description\nThe task is to determine the best action for a given poker hand based on the input hole cards and the community board. The assistant should consider the player's personality, the strength of their hand, the possible draws and board combinations, and the current street to make an informed decision.\n\n## Input Format\nThe input will be in the following format:\n- `personality`: A string representing the player's personality, e.g., `fifteen_percent`.\n- `hole_cards`: A tuple of two strings representing the player's hole cards, e.g., `(Kh, Kd)`.\n- `board`: A tuple of five strings representing the community board, e.g., `(Qh, 8h, 9s, Ac)`.\n- `street`: A string representing the current street, e.g., `Turn`.\n\n## Task Requirements\n1. The assistant should analyze the input hole cards and the community board to determine the strength of the player's hand.\n2. The assistant should consider the player's personality and adjust their strategy accordingly.\n3. The assistant should identify possible draws and board combinations that could improve or weaken the player's hand.\n4. The assistant should determine the best action based on the analysis, considering the current street and the player's hand strength.\n5. The assistant should provide a clear and concise reasoning for their decision.\n\n## Domain-Specific Factual Information\n- A pair of kings is a strong hand, but it can be vulnerable to ace-high flush draws.\n- A possible straight draw can be a strong hand, but it can also be vulnerable to flush draws.\n- A tight-aggressive player (15% aggression level) tends to be cautious and only play strong hands.\n- A player with a strong hand should consider raising to build the pot and protect their hand.\n- A player with a weak hand should consider folding to minimize losses.\n- A flush draw on the board can be a strong hand, but it can also be vulnerable to straight draws.\n- A straight draw on the board can be a strong hand, but it can also be vulnerable to flush draws.\n- The turn street is a good time to check and see how the other players react, as it can help to gather more information about their hands.\n- A player should be cautious and not play too many hands, especially on the turn street.\n- A player with a possible straight draw should consider checking to see how the other players react, as it can help to gather more information about their hands.\n- A player with a possible flush draw should consider checking to see how the other players react, as it can help to gather more information about their hands.\n\n## Generalizable Strategies\n- Consider the player's personality and adjust their strategy accordingly.\n- Analyze the input hole cards and the community board to determine the strength of the player's hand.\n- Identify possible draws and board combinations that could improve or weaken the player's hand.\n- Determine the best action based on the analysis, considering the current street and the player's hand strength.\n- Be cautious and not play too many hands, especially on the turn street.\n\n## Evaluation Criteria\nThe assistant's response will be evaluated based on the following criteria:\n- Accuracy: Is the assistant's action correct based on the input hand and board?\n- Reasoning: Is the assistant's reasoning clear and concise, and does it justify their action?\n- Adaptability: Does the assistant adjust their strategy based on the player's personality?\n- Domain knowledge: Does the assistant demonstrate a good understanding of poker concepts and strategies?\n\n## Additional Requirements\n- The assistant should be able to handle different types of hands, including strong hands, weak hands, and possible draws.\n- The assistant should be able to handle different types of board combinations, including flush draws, straight draws, and possible combinations.\n- The assistant should be able to handle different types of streets, including the flop, turn, and river.\n- The assistant should be able to provide clear and concise reasoning for their decision."
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
river_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions='Review the folling Poker Hand and determine the best action.'
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
)), preflop_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
    instructions='Review the folling Poker Hand and determine the best action.'
    personality = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Personality:', 'desc': '${personality}'})
    hole_cards = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Hole Cards:', 'desc': '${hole_cards}'})
    street = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Street:', 'desc': '${street}'})
    board = Field(annotation=str required=True json_schema_extra={'__dspy_field_type': 'input', 'prefix': 'Board:', 'desc': '${board}'})
    reasoning = Field(annotation=str required=True json_schema_extra={'prefix': "Reasoning: Let's think step by step in order to", 'desc': '${reasoning}', '__dspy_field_type': 'output'})
    action = Field(annotation=Literal['fold', 'check', 'call', 'raise', 'all_in'] required=True json_schema_extra={'__dspy_field_type': 'output', 'prefix': 'Action:', 'desc': '${action}'})
))
flop_module.predict = Predict(StringSignature(personality, hole_cards, street, board -> reasoning, action
